headline,cleaned_text
SharePoint RCE CVE-2026-45659 Added to CISA KEV After Active Exploitation,sharepoint rce added cisa kev active exploitation
Unpatched Argo CD Repo-Server Flaw Could Let Attackers Take Over Kubernetes Clusters,unpatched argo cd flaw could let attackers take kubernetes clusters
19-Year-Old Scattered Spider Suspect Extradited to Face U.S. Hacking Charges,scattered spider suspect extradited face hacking charges
The Systems That Power America Are Under Threat. Is Your ICS/OT Program Ready?,systems power america threat program ready
SEO-Poisoned Software Sites Abuse ScreenConnect to Deploy AsyncRAT,software sites abuse screenconnect deploy asyncrat
VEIL#DROP Malware Chain Uses Blogger Platform to Deliver PureLogs Stealer,veil drop malware chain uses blogger platform deliver purelogs stealer
"Inside Device Code Phishing: Live Demos, Real Kits, and What's Next",inside device code phishing live demos real kits next
Ousaban Banking Trojan Targets Iberian Bank Users with Fake PDF Lures,ousaban banking trojan targets iberian bank users fake pdf lures
Adobe Patches 7 CVSS 10.0 Flaws in ColdFusion and Campaign Classic,adobe patches cvss flaws coldfusion campaign classic
Critical Cursor Flaws Could Let Prompt Injection Escape Sandbox and Run Commands,critical cursor flaws could let prompt injection escape sandbox run commands
